unique Id,transcription
Rodrigo_00009_05,"como de las cosas encubiertas de las sus figuras, quisieron que"
Rodrigo_00009_06,las supiessen Aquellos que Auian de venir despues dellos. E ci
Rodrigo_00009_07,erta mente por el spiritu de dios que los guiaua supieron ellos
Rodrigo_00009_08,las cosas presentes & por muestras & por señales entendierō
Rodrigo_00009_09,las por venir. Mas el oluido que siempre fue enemigo de
Rodrigo_00009_10,la memoria Acompañose con la negligencia. & encerro & encu
Rodrigo_00009_11,brio lo que fallo el estudio & el afincamiento de los sabios. E
Rodrigo_00009_12,porque la pereza enemiga del saber No encerrasse de toda me
Rodrigo_00009_13,moria los caminos & las carreras del estudio & los hombres
Rodrigo_00009_14,ouiessen Razon de Aprender & de saber lo que supieron los
Rodrigo_00009_15,Sabios que ouieron el saber por candela & por luz & lo ama
Rodrigo_00009_16,ron & lo preciaron mas que A oro ni piedras preciosas por
Rodrigo_00009_17,amor de dexar las cosas escriptas & que no pereciessen por
Rodrigo_00009_18,tiempo fallaron Primero las figuras de las letras como pa
Rodrigo_00009_19,resce por el. A. b. c. & destas letras formaron sillabas a
Rodrigo_00009_20,ssi como diziendo. d.e. cada vna por si & Ayuntadas en vno
Rodrigo_00009_21,dizen .de. & faziendo de tres letras vna sillaba assi como
Rodrigo_00009_22,d.e.s. cada vna por si & todas ayuntadas dizen .des. E
Rodrigo_00009_23,destas sillabas hizieron dictiones qe llamamos Palabras assi
Rodrigo_00009_24,como
Rodrigo_00010_00,como .di. es Vna sillaba. & .os. es otra. & Ayuntando estas
Rodrigo_00010_01,"dos sillabas en vno, dizen dios, & de tres letras vna sillaba assi"
Rodrigo_00010_02,como .des.cen.dio. Cada vna por si es vna sillaba & Ayuntadas
Rodrigo_00010_03,todas tres en vno dizen descendio. E destas dictiones o palabras
Rodrigo_00010_04,"Ayuntadas en vno fazen vna Razon, assi como dios & descendio"
Rodrigo_00010_05,& Ayuntadas en vno dizen dios descendio. Ca bien assi como los
Rodrigo_00010_06,"texedores de trama & de estambre texen vna gran tela, assi los"
Rodrigo_00010_07,sabios fallaron letras & de letras fizieron sillabas & de las si
Rodrigo_00010_08,"llabas hizieron Palabras, como de estambre & trama hizieron"
Rodrigo_00010_09,tela. Assi de Palabras se fazen muchas Razones. E todo esto
Rodrigo_00010_10,"trabajaron los Sabios de Auer & saber, Porque los que veniesē"
Rodrigo_00010_11,despues dellos viessen & supiessen por las scripturas las cossas
Rodrigo_00010_12,passadas assi como si viniesen nueuas & como si ellos mesmos //
Rodrigo_00010_13,"ouiessen passado por ellas, assi las supiesen & las entendiessen. E"
Rodrigo_00010_14,otrosi que por esta scriptura pudiesen saber & entender las scien
Rodrigo_00010_15,"cias & las Artes liberales, assi como Grammatica & logica &"
Rodrigo_00010_16,naturas & las otras sciencias. E otrosi las Artes mecanicas a
Rodrigo_00010_17,"ssi como carpenteria & ferreria & alfayateria, & las otras semejan"
Rodrigo_00010_18,tes qe fueron hechas para pro de los hombres. Otrosi qe supie
Rodrigo_00010_19,sen el curso de las estrellas & el mouimiento de los planetas &
Rodrigo_00010_20,el ordenamiento de los cielos & las virtudes & las fuerças e el sa
Rodrigo_00010_21,ber de las estrellas qe fallaron los astrologos qe sabian la astrolo
Rodrigo_00010_22,gia qe es sciencia de las estrellas. E supieron las medidas &
Rodrigo_00010_23,los cobdos & el compasar de la geometria & el departimiento de
Rodrigo_00011_00,los grados & el Alongamiento de los punctos. E supiesen otrosi por
Rodrigo_00011_01,"que la luna que esta clara eclipsa, & el sol tam luzio & claro escu"
Rodrigo_00011_02,rece la su claridad & resplandor. E supiesen otrosi las virtudes de
Rodrigo_00011_03,las yeruas. Ca todas las cossas no las podian los hombres fallar de
Rodrigo_00011_04,ligero sino ouiessen los primeros comienços. E puesto que lo halla
Rodrigo_00011_05,sen no se podrian Acordar de todo sino lo pusiesen en escripto. To
Rodrigo_00011_06,das estas cosas sobredichas fallaron los Antiguos & lo escriuieron
Rodrigo_00011_07,Porque lo Aprendiessen & lo supiessen los que veniesen despues de
Rodrigo_00011_08,ellos. & porque las Voluntades de los hombres se trabajan de estu
Rodrigo_00011_09,diar en departidas cossas. Por ende los nuestros antecessores no
Rodrigo_00011_10,"tam solamente escriuieron las cossas, mas aun con grand estudio"
Rodrigo_00011_11,& con grand talante escriuieron los fechos de los cuerdos & de los
Rodrigo_00011_12,"locos de los fieles & de los herejes, & las ℣tudes Catholicas que"
Rodrigo_00011_13,"son fe sperança y charidad, & las otras bondades que el chris"
Rodrigo_00011_14,tiano deue creer. & Auer las virtudes Polyticas que son mesu
Rodrigo_00011_15,"ra, cordura, Fortaleza, iusticia. E los derechos ecclesiasticos assi"
Rodrigo_00011_16,como el decreto & los decretales A que dizen derecho Canonico //
Rodrigo_00011_17,& las leyes a que dizen derecho ciuil. Porque el mundo se guiase
Rodrigo_00011_18,& se gouernase por ellos. E otrosi escriuieron los fechos de los //
Rodrigo_00011_19,principes qe fueron Ante. De los quales vnos por su maldad & por
Rodrigo_00011_20,su Astrosia fueron viles. & los otros por su nobleza & por su gran
Rodrigo_00011_21,dia & por su franqueza & por su Justicia fueron nobles. en tanto
Rodrigo_00011_22,qe mientra el mundo dure siempre diran dellos bien. Porque en
Rodrigo_00011_23,"tiendan los que ahora son, quam grand departimiento ay de los"
Rodrigo_00011_24,buenos
Rodrigo_00012_00,buenos A los malos. & Aprendan los exemplos de los buenos &
Rodrigo_00012_01,se partan & se Arriedren del camino de los malos. Ca el nuestro
Rodrigo_00012_02,señor como quier que empobresca A los buenos empero siempre les
Rodrigo_00012_03,Acorre la su merced. E los malos como quier que paresca a los //
Rodrigo_00012_04,hombres que les va bien en quanto los ensalça dios & quanto mas
Rodrigo_00012_05,en Alto suben tanto dan mayor cayda como quien cae de alto. To
Rodrigo_00012_06,das estas cosas escriuieron los Antiguos porque las supiesen los hō
Rodrigo_00012_07,bres de Ahora. Y quien es el que sabria Agora ninguna cosa đl
Rodrigo_00012_08,"mundo como fue criado, & como vinieron los tres patriarchas &"
Rodrigo_00012_09,como salieron los hijos de ysrael de Egipto & como fue dada la
Rodrigo_00012_10,"vieja ley, sino fuesse todo escripto? Y quien sabria ninguna"
Rodrigo_00012_11,cosa de la Annunciacion del nuestro Saluador iesuchristo. ni de la
Rodrigo_00012_12,"su bendita madre, ni de la su sancta passion, ni de la su Resurre"
Rodrigo_00012_13,"ction, ni de la su ascension, ni de como Vino el spiritu sancto"
Rodrigo_00012_14,"ni de las cosas que Jesuchristo hizo, Pues que todos los apostoles"
Rodrigo_00012_15,& los euangelistas & todos los otros qe Anduuieron con el son ya
Rodrigo_00012_16,"muertos, si no lo dexaran escripto en los libros sanctos segund"
Rodrigo_00012_17,lo dexaron? como lo supiessemos nos? Otrosi las lides de los
Rodrigo_00012_18,Romanos & de las otras gentes qe fueron del comienço del mū
Rodrigo_00012_19,"do aca, Otrosi de las cosas qe Acaescieron en el mundo de muchas"
Rodrigo_00012_20,"guisas & de muchas maneras, sino fueran escriptas ya fueran"
Rodrigo_00012_21,oluidadas. Otrosi de quanta lazeria & quanto trabajo leuo &
Rodrigo_00012_22,suffrio españa de muchos & departidos principes & como mudo
Rodrigo_00012_23,el Lenguaje. & como se mudaron otrosi en los que la primeramente
Rodrigo_00013_00,Poblaron por Alongamiento de Tiempo & por mengua de scrip
Rodrigo_00013_01,"tura se oluido, En guisa que Amalaues sabe hombre, qual fue"
Rodrigo_00013_02,"la gente que la primero poblo, o donde Vino, o de donde descendio"
Rodrigo_00013_03,"E por que señor muy noble plugo a la vrā Alteza, de querer Re"
Rodrigo_00013_04,"querir & demandar el mi poco saber, que si Alguna cosa sabia o"
Rodrigo_00013_05,"podia saber de las Antiguedades & fechos de españa, de las cosas"
Rodrigo_00013_06,"que A los Antiguos & a los de aquel tiempo acaescieron, que vos"
Rodrigo_00013_07,lo hiziese saber. Otrosi quales gentes fueran aquellas que corri
Rodrigo_00013_08,eran & quebrantaran e estragaran A españa. Otrosi los Re
Rodrigo_00013_09,"yes de españa de donde Venian, & quales noblezas & grandezas"
Rodrigo_00013_10,"hizieron, & quales dellos se trabajaron en semejar a los buenos"
Rodrigo_00013_11,e ygualar con ellos. E que de todo esto me trabajasse de lo estu
Rodrigo_00013_12,diar & de lo saber todo & que lo fiziese escriuir en vn libro &
Rodrigo_00013_13,que vos lo embiasse. E yo señor no puedo estar qe no cumpla
Rodrigo_00013_14,el vrō mandado. E por ende he començado cosa muy graue de
Rodrigo_00013_15,fazer. Porque en el tiempo del Rey Rodrigo quando los Ala
Rodrigo_00013_16,raues entraron la tierra de españa & la destruyeron perdiose la
Rodrigo_00013_17,tierra & perdieronse los libros que Auia en ella sino fueron al
Rodrigo_00013_18,gunos pocos qe trasladaron y guardaron algunos hombres buenos
Rodrigo_00013_19,que escaparon. & señor Rey bienAuenturado assi como vos me
Rodrigo_00013_20,lo embiastes dezir & mandar yo assi lo cumpli & trabajeme de co
Rodrigo_00013_21,pilar de los dichos de santo ysidro & sancto Alfonso & de sancto
Rodrigo_00013_22,"Ysidro el menor, & de los dichos de ydicio obispo de Galizia. &"
Rodrigo_00013_23,"de Sulpicio Aquitanico Arçobispo de Merida, & de los Concilios de"
Rodrigo_00013_24,Toledo.
Rodrigo_00014_00,Toledo & de lo que escriuio Don Jordan chanciller del sacro Palacio
Rodrigo_00014_01,del Papa. & de Claudio Ptholomeo qe fue muy Noble escriptor del mū
Rodrigo_00014_02,do & de las cosas que en el acaescieron. & de los dichos de Dionisio el qe
Rodrigo_00014_03,señaladamente escriuio la historia de los godos Verdaderamente. &
Rodrigo_00014_04,otrosi de los dichos de trogo Pompeyo qe cuenta cumplidamente las gē
Rodrigo_00014_05,tes de Oriente. Los quales dichos fasse en pieças & en quadernos
Rodrigo_00014_06,& en cartapeles mal reparados. E copilelos todos desde el tiempo
Rodrigo_00014_07,"de Jafed hijo de Noe, fasta este tiempo en que vos señor Don fer"
Rodrigo_00014_08,nando Rey muy glorioso reynades. E señor esto hize con grā
Rodrigo_00014_09,"Afan, por escriuir mas ordenadamente la historia de españa qe"
Rodrigo_00014_10,me embiastes A demandar muy afincadamente. E señor entre
Rodrigo_00014_11,"todos los principes del mundo, los Reyes de los godos fueron"
Rodrigo_00014_12,mas nobles & mas marauillosos. & los sicglos embiaronlos a espa
Rodrigo_00014_13,"ña que la heredasen, assi como si fincasen herederos della por he"
Rodrigo_00014_14,rencia de testamento qe les hiziesen. cuyos hechos & cuyas noble
Rodrigo_00014_15,zas contare Adelante desde el comienço suyo fasta estos tpōs
Rodrigo_00014_16,& escriui otrosi las pestilencias que españa sufrio Ante que los
Rodrigo_00014_17,godos Veniesen A ella. En la qual españa los godos despues qe
Rodrigo_00014_18,"pasaron a Assia & Europa & las estragaron, ouieron & mantu"
Rodrigo_00014_19,uieron el su postrero señorio en españa. en la qual vino la san
Rodrigo_00014_20,gre & el juizio de dios sobre ellos en el tiempo qe los Alaraues en
Rodrigo_00014_21,traron la tierra Reynante el Rey Rodrigo Postrimero Rey
Rodrigo_00014_22,de los godos. E muy Noble señor Rei bien Auenturado Don
Rodrigo_00014_23,"Fernando Por la gracia de dios Rei de Castilla, De toledo, de Gali"
Rodrigo_00015_00,"zia De Cordoua, de Murcia de Jaen. Yo Don Rodrigo vuestro"
Rodrigo_00015_01,"Arçobispo en toledo vos embio donde venieron, o quien fueron"
Rodrigo_00015_02,"los que Primero moraron en españa & la poblaron, & las lides"
Rodrigo_00015_03,de hercules qe hizo contra ellos. & otrosi las mortandades que
Rodrigo_00015_04,ay fizieron los Romanos. & como por estragamientos consumi
Rodrigo_00015_05,eron los del Andaluzia & los Sueuos & los Alanos & los Silin
Rodrigo_00015_06,"gos lo mejor & mas Verdaderamente que yo pude copilar, segund"
Rodrigo_00015_07,lo falle en los libros Antiguos. E como quier señor que yo no
Rodrigo_00015_08,"escriui esta historia por las palabras tam Apuestas, ni de tam"
Rodrigo_00015_09,gran sabiduria como deuia & a vrā grand señoria se requeria
Rodrigo_00015_10,empero señor escreuila A reuerencia & gloria de vrā alteza &
Rodrigo_00015_11,"maiestad, & a honrra de la vuestra noble caualleria & grandes"
Rodrigo_00015_12,de la vuestra casa & corte. E señor Pidouos por merced que
Rodrigo_00015_13,me perdonedes porque fui atreuido de embiar tam pequeño
Rodrigo_00015_14,don ante la faz de tam alto Principe –
Rodrigo_00015_15,1 ¶ De como despues del diluuio
Rodrigo_00015_16,fue fecha la torre de Babilonia –
Rodrigo_00015_17,s Egund Cuenta la Verdad Del primero libro De
Rodrigo_00015_18,"Moisen, a que dizen Genesis, el qual escriuio moisen"
Rodrigo_00015_19,Por spiritu de Profecia. Que despues qe Adam nuestro Padre
Rodrigo_00015_20,Peco Anduuo el humanal linaje baldio & fuyendo. E Anduuo
Rodrigo_00015_21,"Perdido en la tierra de la mezquindad, fasta que el su pecado &"
Rodrigo_00015_22,la su mesquindad & maldad crescio en tanto que los mato dios
Rodrigo_00015_23,a todos con las Aguas del diluuio qe no finco ninguno Saluo noe
Rodrigo_00015_24,& sus hijos
Rodrigo_00016_00,"& sus hijos & sus mugeres qe fueron Por todos ocho, quatro hom"
Rodrigo_00016_01,bres y quatro mugeres. Los quales guardo el nuestro señor que
Rodrigo_00016_02,fincassen por semiente para que se poblase el mundo dellos. & los
Rodrigo_00016_03,Nombres de los hijos de Noe son estos. Sen. Can. Japhet. E los
Rodrigo_00016_04,hijos que Venieron destos oluidaron la pena del diluuio qe dios em
Rodrigo_00016_05,biara sobre los hombres. Ca en lugar de se guardar de pecar añe
Rodrigo_00016_06,dieron mal sobre mal. E queriendo semejar al muy alto hizierō
Rodrigo_00016_07,"la torre de Soberuia de babilonia, mas porque fueron yguales de"
Rodrigo_00016_08,"Lucifer en la culpa Vino sobre ellos ygual pena, & cayeron ygual"
Rodrigo_00016_09,cayda con lucifer & con sus compañas. E assi como entre los An
Rodrigo_00016_10,geles ouo departimiento & ouieron departidos officios. Ca los vnos
Rodrigo_00016_11,Angeles fueron en el cielo y estan siempre ante nrō señor dios. &
Rodrigo_00016_12,por ellos A mandamiento de dios se ordena y enderesça nrā salud
Rodrigo_00016_13,en la tierra. & a estos semejan los buenos qe han Ante los sus ojos el
Rodrigo_00016_14,juizio de la maiestad de dios & guardanse de le hazer pessar como hi
Rodrigo_00016_15,jos a Padre & quando salen deste mundo van a la gloria de para
Rodrigo_00016_16,yso. E los otros Angeles malos que ouieron embidia del hombre
Rodrigo_00016_17,& le consejaron de hazer mal de su hazienda no escaparon sin pena
Rodrigo_00016_18,ca siempre han pena perdurable. & a estos semejan los malos que
Rodrigo_00016_19,siempre Tienen consigo juizio de su maldad & siempre los ator
Rodrigo_00016_20,menta cuidado & cuita de complir su talante. E la generacion de
Rodrigo_00016_21,Noe moraua en Caldea & en siria & en la mayor Armenia qe otra
Rodrigo_00016_22,"mente dixeron Asiria, En la qual es la grand çibdad de Niniue &"
Rodrigo_00016_23,morauan en lugares ciertos & señalados. & todas las otras tierras
Rodrigo_00017_00,& Reynos assia & affrica y Europa eran sin pobladores & Va
Rodrigo_00017_01,zias de labradores fasta que las gentes del mundo qe eran en A
Rodrigo_00017_02,"quel tiempo, quisieron fazer vna torre. E dixeron los vnos a"
Rodrigo_00017_03,los otros fagamos vna torre de betumen & de ladrillos & vaya su
Rodrigo_00017_04,altura fasta el cielo. E llegaron se a obrar aquella torre por
Rodrigo_00017_05,que si dios quisiese otra uez destruyr el mundo Por Agua que se
Rodrigo_00017_06,metiesen en Aquella torre e no la podria derribar el Agua. Porque
Rodrigo_00017_07,"el betumen quanto mas da el Agua en el, mas Aprieta. E si por"
Rodrigo_00017_08,Ventura los quisiese consumir por fuego qe se Amparasen en la to
Rodrigo_00017_09,rre que era de ladrillo qe sufre bien el fuego. & veyendo dios la
Rodrigo_00017_10,su locura partioles los lenguajes qe se no entendiesen los vnos a
Rodrigo_00017_11,"los otros, Ca Ante todos eran de vn lenguaje. & por estas razones"
Rodrigo_00017_12,ouieron de dexar de obrar la torre. E porque el desuariamien
Rodrigo_00017_13,"to de los lenguajes muda los coraçones & las costumbres, los que"
Rodrigo_00017_14,eran de vn lenguaje allegaronse en vno & fueron Poblar vna tie
Rodrigo_00017_15,"rra, & los de otro lenguaje fueron poblar otra tierra segund que"
Rodrigo_00017_16,eran los lenguajes departidos en fablar. Assi como castellanos
Rodrigo_00017_17,y leoneses & gallegos. E assi poblaron departidas tierras & A
Rodrigo_00017_18,partaronse los vnos de los otros & partieron las tierras y las ք
Rodrigo_00017_19,vincias. E no tam solamente se apartaron los vnos de los otros
Rodrigo_00017_20,"por el lenguaje, mas aun se partieron con malquerencia que los"
Rodrigo_00017_21,de Vn Reyno querian mal A los del otro. E los que se assi apar
Rodrigo_00017_22,"taron buscaron por la tierra que querian poblar, lugares plazen"
Rodrigo_00017_23,"teros y deleytosos, donde fiziesen çibdades & villas & castillos en"
Rodrigo_00017_24,que po
Rodrigo_00018_00,que poblasen su morada. & no se teniendo por contentos de lo que
Rodrigo_00018_01,"tenian trabajaronse quanto pudieron, en ganar y tomar & con"
Rodrigo_00018_02,"querir las tierras agenas, haziendo los vnos en los otros gran"
Rodrigo_00018_03,"des muertes & grandes males, & leuantose entre ellos muerte"
Rodrigo_00018_04,"y cuchillo, & llamaron sus nombres en sus gentes, & en sus tier"
Rodrigo_00018_05,ras. E partieron las lenguas por las fablas & por los lenguajes
Rodrigo_00018_06,& los fijos de sen. Poblaron tierra de assia como quier que no to
Rodrigo_00018_07,"da, e los fijos de can ouieron a Africa. & los fijos de Jafet"
Rodrigo_00018_08,"poblaron desde Amano & tarro, montes de cilicia y siria que son"
Rodrigo_00018_09,"en Assia, & toda Europa fasta los gades de hercules qe son en fin"
Rodrigo_00018_10,de Galizia en la coruña. E si los hijos de Cam e de Jafet ouie
Rodrigo_00018_11,"ron algo en tierra de Assia, cuydo qe fue por la desauenencia, que oui"
Rodrigo_00018_12,eron entre si. Mas porque nrō entendimiento es en esto libro de
Rodrigo_00018_13,"hablar señaladamente de los hijos de Jafet, por ende dexare aqui de"
Rodrigo_00018_14,hablar de los otros – ¶ De como comiença europa.
Rodrigo_00018_15,& de los Terminos que tiene =
Rodrigo_00018_16,2 e Vropa Comiença en el Rio que dizen tanay. & de la
Rodrigo_00018_17,"vna parte la corre el mar mediterraneo, & de la otra par"
Rodrigo_00018_18,te el mar de las gades de hercules contra trasmontana & contra el
Rodrigo_00018_19,"cierço. & de la otra el mar Oceano, que es el mar mayor qe cerca to"
Rodrigo_00018_20,"do el mundo. Y el rio que dizen tanay, es aquel que nasçe en los //"
Rodrigo_00018_21,montes de Ripheos & corre muy raudo. Ca los otros Rios que co
Rodrigo_00018_22,rren cerca del meothis & bosforo muchas vezes se yelan en guisa
Rodrigo_00018_23,qe pasan los hombres por cima de ellos a pie Andando sobre el yelo
Rodrigo_00019_00,E Meothis tam fondo corre entre las peñas & bahea tam fuerte
Rodrigo_00019_01,qe en ningund tiempo no se cria en el yelo alguno. E este Rio tanay
Rodrigo_00019_02,es muy famoso termino de Tierra de Assia & de europa. & el mar
Rodrigo_00019_03,"de las Gades es en fin de Galizia en la coruña, & lieua nombre de"
Rodrigo_00019_04,las gades de hercules. E el mar Oceano Septentrional a trasmō
Rodrigo_00019_05,"tana ha este nombre Septentrional, porque tiene muchas yslas"
Rodrigo_00019_06,"contra aquella parte, & son estas, escancia, frisia, escocia, yngla"
Rodrigo_00019_07,"terra, ybernia & otras yslas menores. & son otras tierras cer"
Rodrigo_00019_08,"ca de la mar mediterraneo, con las yslas qe se encierran en el mar me"
Rodrigo_00019_09,"diterraneo, como es, mallorcas, menorcas & yuica & metillena, ve"
Rodrigo_00019_10,"necia, creta, patinos ponto, curfo, hasta que llega hombre, a la grā"
Rodrigo_00019_11,laguna qe dizen meotida. E es en Europa assentada la noble cib
Rodrigo_00019_12,"dad de constantinopla, & todos estos terminos touieron & posse"
Rodrigo_00019_13,"yeron aun fasta engadira con la tierra de pulla, que encierra en"
Rodrigo_00019_14,si la cibdad de Capoliz. E los fijos de Jafet son estos. gomer
Rodrigo_00019_15,E Magot & moday & yuan & tubal & meseg & tharlas . estos
Rodrigo_00019_16,"fueron señores de todo en sus lenguas, en sus linajes segund"
Rodrigo_00019_17,cuenta sancto Ysidro. & los fijos de gomer fijo de Jafet fueron
Rodrigo_00019_18,"estos, afenec, begorma & rapat, & de Asenec vinieron las gen"
Rodrigo_00019_19,"tes que llamaron Sarmatas, o Sauromatas, a que dizen los griegos"
Rodrigo_00019_20,"reginos, & destos Vinieron los de pulla & de Calabria & los siclos"
Rodrigo_00019_21,& los latinos qe moran en la tierra que llaman latina. E de ra
Rodrigo_00019_22,pat descendieron los paflagonš & paflagon es tierra qe se tiene
Rodrigo_00019_23,con Galizia. E cuenta Cornelio Nieto qe estos Paflagones Vi
Rodrigo_00019_24,nieron
Rodrigo_00020_00,nieron despues En lombardia & partieronse en dos gentes a los
Rodrigo_00020_01,vnos llaman ligures y a los otros emilpus. & de begornia Vinie
Rodrigo_00020_02,"ron las gentes a que dizen frisios, & pusieron nombre a la tierra en"
Rodrigo_00020_03,"qe moraron como assi, frisia, E los fijos de yuan fijo de Jafet"
Rodrigo_00020_04,"fueron estos, yelisa & tarsis & ceclin & donauin. E de yelisa"
Rodrigo_00020_05,"vinieron los griegos a quien dixeron primero yeclides, del nombre"
Rodrigo_00020_06,"de yelisa. E de tharsis, descendieron los celicos qe moraron en"
Rodrigo_00020_07,"Cecilia, cuyo Arçobispado es la noble cibdad de tarso. A la qual"
Rodrigo_00020_08,pusieron Nombre tarso por Razon de tarses hijo de yuan &
Rodrigo_00020_09,"de Ceclin Vinieron los Cicios segund cuenta sancto ysidro,"
Rodrigo_00020_10,estos Cicios son los qe moran en tierra de Chipre. E segund
Rodrigo_00020_11,esta cuenta paresce que Cipre cupo en su partida o en su parte
Rodrigo_00020_12,"de morada a los hijos de Jafet, & no a los hijos de senec. & a la"
Rodrigo_00020_13,noble cibdad de estos dixeron del nombre de ciclin cicio a la qe
Rodrigo_00020_14,"ahora dizen chipre, & della lleua nombre toda la tierra. & de"
Rodrigo_00020_15,donauin vinieron los Rodios cuya noble cibdad llamaron Ro
Rodrigo_00020_16,"das. E de gomer, hijo de Jafet vinieron los Galatas segund"
Rodrigo_00020_17,"dize Josefo Noble fazedor de las historias, & sancto ysidro. A"
Rodrigo_00020_18,estas galathas llaman de otra guisa en latin galongregos. & di
Rodrigo_00020_19,zen les galongregos por esta razon. En el tiempo Antiguo los
Rodrigo_00020_20,"adelantados de francia a que dezian Gallia en latin, conquirie"
Rodrigo_00020_21,ron vna partida de grecia. & a esta tierra qe conquirieron pusie
Rodrigo_00020_22,"ron nombre, en que Ayuntaron los nombres de Amas las tierras"
Rodrigo_00020_23,"de Galia que es Francia e de Grecia. & dixeronle galacia, a que"
Rodrigo_00021_00,dizen Galongregos segund dicho es por la Razon sobre dicha
Rodrigo_00021_01,"Do moran los galatas. E de magot, fijo de Jafet, descendieron"
Rodrigo_00021_02,"los scitas, que llaman masagetas. E segund otrosi cuenta san"
Rodrigo_00021_03,cto Ysidro deste magot vinieron los godos & los vandalos &
Rodrigo_00021_04,los sueuos y los alanos y los vnōs. E de maday fijo de Jafet
Rodrigo_00021_05,"Vinieron los medos, de quien lleuo nombre la tierra de media &"
Rodrigo_00021_06,de yuan fijo de Jafet vinieron los yones qe son otrosi llamados
Rodrigo_00021_07,griegos & destos yones lleua nombre el mar de Aquella tierra el
Rodrigo_00021_08,mar de yonia. E segund dicho es estos yones son griegos y
Rodrigo_00021_09,estos griegos son los que poblaron a troya. & despues que fue
Rodrigo_00021_10,destruida Troya quando la destruyeron los griegos. otros de
Rodrigo_00021_11,"la gran grecia que es Romania, dos hermanos Priamo y anthe"
Rodrigo_00021_12,nor metieronse en sus Naues y vinieron a venecias y murio
Rodrigo_00021_13,Antenor y soterraronlo en Padua. & priamo tomo consigo sus
Rodrigo_00021_14,compañas y las que fincaron de Antenor y conquirio A germa
Rodrigo_00021_15,nia E este nombre le puso Priamo por Amor de su hermano
Rodrigo_00021_16,"Antenor, como si lo llamasen de hermandia hermano. & aVn"
Rodrigo_00021_17,"fasta grand Tiempo la llamaron germania, mas Ahora deten"
Rodrigo_00021_18,"tos que otra guisa ouo nombre mercurio, pusieron nombre a"
Rodrigo_00021_19,Germania tenconia. Y los latinos llamamosle Alemania del
Rodrigo_00021_20,nombre de vn Rio que Ay en ella a que dizen leman. E en ger
Rodrigo_00021_21,"mania o tenconia, o alemania son estas Tierras. Lotoringia"
Rodrigo_00021_22,"a que dizen Saxonia, & bravança y salia, frisia, tufinja"
Rodrigo_00021_23,"Sueuia, bauaria, fraconia. Carintia. Austria. E despues"
Rodrigo_00021_24,qe priamo
Rodrigo_00022_00,qe Priamo con sus gentes ouo ganado Toda germania con las tie
Rodrigo_00022_01,"rras sobredichas, Salieron de Alli y vinieron A tierra de Galias"
Rodrigo_00022_02,Y quebrantaronla y tomaronla. E porque estas gentes eran fuer
Rodrigo_00022_03,"tes y muy crudas, del quebrantamiento y de la crueldad pusierō"
Rodrigo_00022_04,"nombre a la tierra que dezian galias, dixeronle francia, qe quie"
Rodrigo_00022_05,"re dezir frangida, o quebrantada. E en Aquella mesma manera"
Rodrigo_00022_06,que vinieron Priamo & Antenor en naues de Troya a Vene
Rodrigo_00022_07,"cias & ganaron A germania, bien Assi Vino breton de troya &"
Rodrigo_00022_08,"llego a ynglaterra, & conquiriola. Y porque a el dizian breton"
Rodrigo_00022_09,pusole nombre bretaña & esta es la mayor bretaña. & desta
